subbasin,year,area_ha,avg_water_m3,avg_flow_liter_s,avg_water_m3_wip,avg_flow_liter_s_wip,avg_flow_liter_s_wip_vector,avg_flow_liter_s_wip_pct,avg_tn_kg,avg_tp_kg,avg_tsed_kg,avg_nitrate_kg,avg_dissolved_p_kg,avg_tn_kg_wip,avg_tp_kg_wip,avg_tsed_kg_wip,avg_nitrate_kg_wip,avg_dissolved_p_kg_wip,avg_tn_kg_wip_vector,avg_tp_kg_wip_vector,avg_tsed_kg_wip_vector,avg_nitrate_kg_wip_vector,avg_dissolved_p_kg_wip_vector,avg_tn_wip_pct,avg_tp_wip_pct,avg_tsed_wip_pct,avg_nitrate_wip_pct,avg_dissolved_p_wip_pct
37,2012,674.27,268677.5,103.6575,268911.1667,103.7475,0.089166667,0.120833333,762.2625,61.80833333,20396.6675,69.89333333,1839.639167,642.6925,49.89666667,15508.21,69.95333333,1559.3625,-119.57,-11.91083333,-4888.4575,0.061666667,-280.2783333,-16.01416667,-26.425,-29.635,0.120833333,-16.11333333
37,2013,674.27,251963.5,97.20833333,254599.75,98.22416667,1.0175,0.865833333,505.0825,60.85333333,23037.55833,65.545,1225.780833,482.385,66.47083333,24723.23333,66.23083333,1110.595,-22.7,5.619166667,1685.675,0.685,-115.1833333,-13.44,-11.34333333,-11.84,0.865833333,-14.25833333
37,2014,674.27,284812.1667,109.8825,286550.6667,110.5516667,0.670833333,0.505,715.9625,58.15416667,20789.99167,74.08916667,1645.218333,622.8566667,56.3025,19610.01917,74.54166667,1406.284167,-93.10583333,-1.854166667,-1179.9725,0.4525,-238.9358333,-15.41416667,-7.079166667,-10.6,0.505,-15.85
38,2010,32.53,10945.25,4.2225,10640.83333,4.105833333,-0.1175,-2.744166667,31.63833333,3.708333333,1499.090833,0.138333333,87.21166667,18.39583333,2.049166667,970.4783333,0.133333333,55.58333333,-13.2425,-1.66,-528.6125,-0.003333333,-31.62833333,-37.26416667,-36.38833333,-27.6925,-2.744166667,-35.50916667
38,2011,32.53,18681,7.206666667,18525,7.1475,-0.06,-1.055,60.275,6.070833333,2526.496667,0.235,103.0041667,40.32083333,3.6325,1509.934167,0.2325,67.77083333,-19.95416667,-2.436666667,-1016.5625,-0.000833333,-35.235,-34.9925,-37.12666667,-36.12083333,-1.055,-34.4975
38,2012,32.53,12864.66667,4.961666667,12726.08333,4.91,-0.054166667,-0.940833333,53.12083333,4.185,1512.645,0.161666667,134.0983333,41.88166667,3.2425,1108.730833,0.160833333,107.085,-11.2425,-0.9425,-403.9141667,0,-27.015,-21.6325,-24.015,-24.59916667,-0.940833333,-20.85833333
38,2013,32.53,11723.33333,4.5225,11637.25,4.49,-0.031666667,-0.875,42.055,4.684166667,1724.09,0.145833333,105.8641667,31.45333333,4.353333333,1550.596667,0.145833333,77.73,-10.60166667,-0.33,-173.4933333,0,-28.13416667,-28.59,-14.37833333,-16.0925,-0.875,-28.07583333
38,2014,32.53,13369.33333,5.1575,13224.25,5.101666667,-0.056666667,-1.2625,56.02166667,5.3125,1854.21,0.166666667,132.3525,47.10416667,4.594166667,1518.066667,0.165833333,110.4708333,-8.919166667,-0.719166667,-336.1433333,-0.000833333,-21.88166667,-18.4325,-16.19666667,-19.08333333,-1.2625,-17.435
39,2010,566.24,190792.1667,73.60833333,186822.3333,72.0775,-1.531666667,-1.9025,620.1283333,80.07416667,30482.58667,41.67916667,1677.6125,336.4408333,36.71083333,15760.34667,40.81333333,989.3741667,-283.6866667,-43.36416667,-14722.24,-0.866666667,-688.2383333,-40.765,-46.67666667,-45.03166667,-1.9025,-39.66583333
39,2011,566.24,328621.1667,126.7825,327789.75,126.4625,-0.320833333,-0.445,1077.648333,135.5683333,54547.78667,71.79,1803.766667,654.0075,64.3625,23687.70667,71.60666667,1088.635,-423.6425,-71.20416667,-30860.08,-0.180833333,-715.1308333,-38.85416667,-46.18666667,-51.97583333,-0.445,-38.77833333
39,2012,566.24,221815.0833,85.57666667,220778,85.17666667,-0.400833333,-0.244166667,795.4233333,65.77833333,23734.89333,48.45666667,1975.598333,596.7675,42.04416667,13023.52,48.23083333,1499.469167,-198.655,-23.73416667,-10711.37333,-0.225833333,-476.1291667,-25.155,-35.24916667,-43.93916667,-0.244166667,-24.94083333
39,2013,566.24,204035.75,78.71666667,205056.75,79.11083333,0.3925,0.179166667,579.3583333,60.6825,21988.98667,44.5725,1476.539167,453.0866667,57.285,19299.34667,44.79583333,1096.775833,-126.2725,-3.396666667,-2689.64,0.2225,-379.7608333,-27.96583333,-22.96416667,-29.5325,0.179166667,-28.30833333
39,2014,566.24,232712.4167,89.78166667,232161.5833,89.56833333,-0.213333333,-0.4775,789.0558333,71.72416667,25056.12,50.8375,1844.219167,638.8133333,58.18,18166.86667,50.7175,1452.7125,-150.2441667,-13.54083333,-6889.253333,-0.121666667,-391.5083333,-22.72,-27.21,-33.53666667,-0.4775,-22.43833333
40,2010,15.915,5672.916667,2.189166667,5664.416667,2.185,-0.003333333,-0.324166667,2.9625,0.153333333,214.8558333,0.035,7.811666667,2.830833333,0.0425,34.48333333,0.035,7.3875,-0.135,-0.109166667,-180.3733333,0,-0.424166667,-5.460833333,-82.93583333,-89.1575,-0.324166667,-5.163333333
40,2011,15.915,10377.25,4.003333333,10383.5,4.006666667,0.001666667,0.12,6.075,0.2525,298.4075,0.065,10.2575,5.8575,0.080833333,49.07333333,0.065,9.9125,-0.216666667,-0.174166667,-249.3375,0,-0.345,-3.2825,-66.7625,-78.60833333,0.12,-3.401666667
40,2012,15.915,6408.833333,2.473333333,6405.5,2.4725,-0.0025,-0.116666667,4.350833333,0.1675,206.8975,0.039166667,10.53666667,4.176666667,0.0525,34.48416667,0.039166667,10.1625,-0.175,-0.115833333,-172.415,0,-0.370833333,-3.5225,-84.7875,-92.41583333,-0.116666667,-3.423333333
40,2013,15.915,6434.833333,2.484166667,6437.916667,2.484166667,0.001666667,0.091666667,4.275,0.184166667,224.1383333,0.039166667,10.29916667,4.115,0.061666667,39.78916667,0.039166667,9.9,-0.1625,-0.1225,-184.3516667,0,-0.4,-4.016666667,-83.3975,-91.27,0.091666667,-4.119166667
40,2014,15.915,7225.916667,2.789166667,7237.833333,2.791666667,0.004166667,0.251666667,3.893333333,0.215833333,242.7075,0.045,8.3875,3.73,0.083333333,50.39916667,0.045,8.043333333,-0.165,-0.1325,-192.3091667,0,-0.345833333,-4.378333333,-81.23166667,-88.67416667,0.251666667,-4.618333333
41,2010,760.37,255261.25,98.48,255103.5,98.42,-0.06,-0.153333333,141.9358333,4.8775,3738.485833,74.88166667,407.7891667,139.7183333,4.244166667,2851.3875,74.83666667,401.8491667,-2.2175,-0.633333333,-887.0983333,-0.046666667,-5.940833333,-1.415833333,-19.19083333,-24.11916667,-0.153333333,-1.268333333
41,2011,760.37,467993.25,180.5525,468051.9167,180.575,0.021666667,-0.0025,267.1441667,11.02416667,6336.416667,137.2858333,468.6291667,263.1516667,9.630833333,5005.769167,137.305,462.4666667,-3.990833333,-1.393333333,-1330.6475,0.016666667,-6.161666667,-1.319166667,-16.08,-23.895,-0.0025,-1.318333333
41,2012,760.37,308162.25,118.89,308098,118.8658333,-0.025,-0.07,197.125,7.095,4308.763333,90.4,473.5183333,194.2733333,6.398333333,3548.393333,90.3825,467.3575,-2.850833333,-0.696666667,-760.37,-0.018333333,-6.160833333,-1.223333333,-11.23833333,-17.78333333,-0.07,-1.156666667
41,2013,760.37,304173.9167,117.3508333,304205,117.3633333,0.010833333,0.005,207.58,7.855833333,4498.855833,89.23,487.8766667,205.1716667,6.841666667,3548.393333,89.23916667,482.4908333,-2.4075,-1.013333333,-950.4625,0.008333333,-5.385833333,-1.035833333,-22.38,-28.08666667,0.005,-1.044166667
41,2014,760.37,343098,132.3658333,343291.25,132.4416667,0.073333333,0.0725,171.5266667,8.933333333,4752.3125,100.6491667,361.9658333,168.7391667,7.729166667,3865.214167,100.7041667,356.1475,-2.7875,-1.203333333,-887.0983333,0.056666667,-5.816666667,-1.6775,-17.42166667,-18.40583333,0.0725,-1.7475
42,2010,0.8022,255.4166667,0.0975,238.9166667,0.091666667,-0.006666667,-7.618333333,1.010833333,0.1275,143.8616667,0,3.0875,0.209166667,0.009166667,6.550833333,0,0.689166667,-0.8,-0.118333333,-137.3083333,0,-2.399166667,-79.12333333,-94.33583333,-96.1675,-7.618333333,-76.045
42,2011,0.8022,439.8333333,0.170833333,431.5,0.166666667,-0.003333333,-1.659166667,1.173333333,0.198333333,205.9666667,0,2.163333333,0.353333333,0.011666667,7.288333333,0,0.648333333,-0.821666667,-0.185,-198.6791667,0,-1.515,-69.68583333,-94.72666667,-88.63166667,-1.659166667,-68.92
